yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
226950.KQ,226950,올릭스,27354,137500.0,138503.5,-0.7245304270289198,207000.0,-33.57487922705314,56.063618290250645,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,,9.07,,20.73,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,,,,,,,,2026-06-26,4.25,0,0,0,0,0,0,3,5,8,D,27
089970.KQ,089970,브이엠,26654,107800.0,38105.2,182.9010213829084,107600.0,0.18587360594795538,72.93889427739067,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,,29.68,14.23,33.0,13.69,17.34,40.37,105.41,,,-,1444.0,247.0,261.0,17.11,18.07,,,,,,,,2026-06-26,4.25,0,0,16,0,0,0,1,0,17,D,28
357780.KQ,357780,솔브레인,25902,335000.0,343737.5,-2.541910614931452,501000.0,-33.13373253493014,51.27840909090705,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-33.25,18.26,26.15,17.0,2.34,7.66,30.15,6.95,-20.43,-22.12,16759 -> 15226 -> 10164,9234.0,1336.0,840.0,14.47,9.1,,,,,,,-22.12,2026-06-26,4.25,8,3,6,0,0,0,5,5,27,D,29
319400.KQ,319400,현대무벡스,25505,23150.0,22857.775,1.2784490178943424,46350.0,-50.05393743257821,31.168831168814975,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-56.77,99.75,1.65,254.44,16.24,6.79,76.81,15.38,-26.02,65.83,36 -> 229 -> 99,3939.0,182.0,113.0,4.62,2.87,,,,,,,65.83,2026-06-26,4.25,0,0,6,0,15,0,3,3,27,D,30
131290.KQ,131290,티에스이,24722,224000.0,102631.5,118.25657814608574,270500.0,-17.190388170055453,58.83164673412685,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-10.0,1517.12,11.14,34.32,5.81,10.42,30.88,23.21,23.31,1672.52,11 -> 3840 -> 3456,4289.0,492.0,400.0,11.47,9.33,,,,,,,1672.52,2026-06-26,4.25,0,0,12,0,15,0,3,5,35,D,31
237690.KQ,237690,에스티팜,24498,117300.0,125458.0,-6.502574566787292,168700.0,-30.468286899822168,57.142857142842686,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,52.02,53.05,13.37,36.0,4.0,10.03,31.97,21.15,98.19,61.23,1041 -> 1780 -> 2706,3317.0,549.0,546.0,16.55,16.46,,,,,,0.69,61.23,2026-06-26,4.25,0,0,12,20,15,10,3,5,65,B,32
290650.KQ,290650,엘앤씨바이오,23814,89000.0,66764.0,33.30537415373554,118300.0,-24.767540152155537,53.71179039300215,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,192.78,8.73,21.99,,10.72,-57.68,118.98,18.75,12.82,,2132 -> 6242,855.0,44.0,-1382.0,5.15,-161.64,,,,,,,,2026-06-26,4.25,0,0,0,0,0,10,5,5,20,D,33
131970.KQ,131970,두산테스나,22361,118700.0,77565.5,53.03195363918237,190100.0,-37.55917937927406,48.31804281345048,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,-95.9,238.23,8.21,52.0,5.03,0.34,61.02,-18.55,-102.37,-83.42,2839 -> 1903 -> 78,3039.0,-9.0,15.0,-0.3,0.49,,,,,,,-83.42,2026-06-26,4.25,0,0,0,0,0,0,5,5,10,D,34
263750.KQ,263750,펄어비스,21461,33850.0,44352.25,-23.67918200316782,72000.0,-52.986111111111114,30.316742081409558,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,296.2,96.6,7.35,6.0,2.18,-1.05,43.8,6.78,,,237 -> 939,3656.0,-148.0,-84.0,-4.05,-2.3,,,,,,0.02,,2026-06-26,4.25,15,3,0,20,0,10,3,3,54,C,35
420770.KQ,420770,기가비스,21130,166500.0,65621.0,153.72975114673656,166700.0,-0.11997600479904018,80.59490084984238,nxt_web_latest,NXT 체결가,2026-06-26 17:41 KST,,,353.16,47.97,2.06,129.02,10.49,7.42,13.4,100.77,,-33.36,2745 -> 269 -> 1219,524.0,121.0,155.0,23.09,29.58,,,,,,0.37,-33.36,2026-06-26,4.25,0,0,6,20,0,10,1,0,37,D,36
