yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
347850.KQ,347850,디앤디파마텍,41082,94500.0,76841.755,22.98001262464658,111200.0,-15.017985611510792,51.46316851664257,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,6.86,,54.35,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,-211.39,-212.03,328.84,185.6,143.24,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,15
095340.KQ,095340,ISC,39405,185800.0,150361.0,23.569276607630968,271000.0,-31.439114391143914,51.48118494795259,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,2.68,60.46,23.49,44.0,7.02,10.6,15.85,26.19,34.15,91.78,720 -> 2579 -> 2648,2202.0,601.0,563.0,27.29,25.57,417.12,353.78,798.71,851.6,-52.89,OpenDART,2025,CFS,11011,16.42,91.78,2026-06-29,4.25,0,0,12,0,15,2,5,5,39,D,16
214370.KQ,214370,케어젠,38674,72000.0,84514.5,-14.807518236515627,150100.0,-52.03197868087941,47.83362218369723,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-37.87,92.25,3.71,165.52,16.41,9.23,8.85,-11.86,-40.35,-29.05,743 -> 602 -> 374,728.0,204.0,201.0,28.02,27.61,185.89,136.68,88.59,187.99,-99.4,OpenDART,2025,CFS,11011,,-29.05,2026-06-29,4.25,0,0,6,0,0,0,5,3,14,D,17
084370.KQ,084370,유진테크,37765,166700.0,105718.0,57.683648952874634,196100.0,-14.992350841407445,56.03328710124283,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,-32.89,30.03,37.55,41.0,7.78,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,OpenDART,2025,CFS,11011,,31.84,2026-06-29,4.25,0,0,6,0,15,0,3,5,29,D,18
108490.KQ,108490,로보티즈,37092,257000.0,248451.22,3.4408283444935384,405000.0,-36.54320987654321,40.79601990049467,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,691.83,7.68,376.0,10.39,2.49,1.79,29.67,,,-,389.0,33.0,53.0,8.48,13.62,70.75,46.35,310.38,56.29,254.09,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,19
310210.KQ,310210,보로노이,37026,200500.0,231576.0,-13.419352609942308,363500.0,-44.84181568088033,54.38066465256337,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,6.61,,39.83,-50.18,64.97,-23.47,,,-,75.0,-544.0,-427.0,-725.33,-569.33,-720.95,-737.78,357.37,674.39,-317.02,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,5,5,10,D,20
214450.KQ,214450,파마리서치,36259,352500.0,408712.5,-13.753555372052482,711000.0,-50.42194092827004,77.23880597014119,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,65.07,24.5,8.31,19.0,5.79,26.88,44.21,53.18,70.02,37.82,7481 -> 8608 -> 14209,5363.0,2144.0,1683.0,39.98,31.38,1831.62,1473.8,1756.63,3200.1,-1443.47,OpenDART,2025,CFS,11011,0.29,37.82,2026-06-29,4.25,4,0,20,20,15,10,1,3,73,A,21
095610.KQ,095610,테스,34789,181200.0,70104.75,158.47036042493554,183400.0,-1.1995637949836424,57.131722525325024,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,33.69,92.12,10.4,35.0,7.77,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,OpenDART,2025,CFS,11011,1.04,504.31,2026-06-29,4.25,0,0,16,10,15,10,3,0,54,C,22
226950.KQ,226950,올릭스,33979,167800.0,139030.5,20.692941476870182,207000.0,-18.937198067632853,64.3260694108079,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,,,8.73,,25.75,-18.83,30.18,157.89,,,-,147.0,-300.0,-157.0,-204.08,-106.8,-159.0,-160.1,63.59,452.87,-389.28,OpenDART,2025,CFS,11011,,,2026-06-29,4.25,0,0,0,0,0,0,3,5,8,D,23
145020.KQ,145020,휴젤,33774,275000.0,257712.5,6.7080564582625986,388000.0,-29.12371134020619,63.05220883533427,nxt_web_latest,NXT 체결가,2026-06-29 18:27 KST,,,3.3,21.91,58.06,19.0,2.95,16.06,9.86,13.97,20.88,22.87,7517 -> 10985 -> 11348,4251.0,2009.0,1470.0,47.26,34.58,1500.59,1205.36,2096.98,966.76,1130.22,OpenDART,2025,CFS,11011,5.76,22.87,2026-06-29,4.25,4,3,16,0,12,2,3,5,45,C,24
