yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
047810.KS,047810,한국항공우주,138024,138100.0,141941.0,-2.7060539238134154,202000.0,-31.633663366336634,64.76868327400521,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,8.05,37.62,26.0,40.0,7.41,10.51,446.57,1.73,11.84,-8.9,2298 -> 1765 -> 1907,36964.0,2692.0,1873.0,7.28,5.07,,,,,,4.97,-8.9,2026-06-26,4.25,0,0,12,0,0,5,3,5,25,D,54
278470.KS,278470,에이피알,135900,362000.0,298870.0,21.122896242513466,459000.0,-21.13289760348584,49.31818181817868,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,171.08,23.78,37.74,25.0,26.83,75.3,73.11,111.3,197.88,85.08,2249 -> 2842 -> 7704,15273.0,3655.0,2897.0,23.93,18.97,,,,,,0.15,85.08,2026-06-26,4.25,4,0,20,20,15,10,5,5,79,A,55
086280.KS,086280,현대글로비스,135300,179300.0,207838.5,-13.731094094693717,290500.0,-38.27882960413081,44.34697855749883,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,58.5,7.56,45.23,8.0,1.3,18.13,78.92,4.08,18.26,27.83,14148 -> 14585 -> 23117,295664.0,20730.0,17347.0,7.01,5.87,,,,,,0.14,27.83,2026-06-26,4.25,15,6,16,20,15,10,5,5,92,S,56
030200.KS,030200,KT,131555,51900.0,55172.5,-5.931396982192216,68900.0,-24.67343976777939,45.5026455026118,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,271.3,13.4,100.0,9.0,0.69,10.22,120.72,6.86,205.02,32.94,3887 -> 1850 -> 6869,282442.0,24691.0,18368.0,8.74,6.5,,,,,,0.03,32.94,2026-06-26,4.25,12,10,12,20,15,10,5,5,89,S,57
000720.KS,000720,현대건설,115030,102200.0,107511.5,-4.940401724466685,188700.0,-45.83995760466349,44.310344827580856,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-30.35,14.22,25.89,21.0,1.27,4.58,174.81,-4.92,,,4767 -> 3320,310629.0,6530.0,5591.0,2.1,1.8,,,,,,,,2026-06-26,4.25,4,6,0,0,0,0,5,3,18,D,58
071050.KS,071050,한국금융지주,111451,201000.0,199848.0,0.5764380929506424,292500.0,-31.28205128205128,42.98245614034559,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,94.33,4.83,35.38,5.0,0.92,18.66,1025.35,6.14,95.49,69.05,11480 -> 16883 -> 32808,194661.0,23453.0,20244.0,12.05,10.4,,,,,,0.05,69.05,2026-06-26,4.25,15,8,16,20,15,10,5,5,94,S,59
0126Z0.KS,0126Z0,삼성에피스홀딩스,106126,426000.0,521840.0,-18.36578261536103,743000.0,-42.664872139973085,55.44041450776799,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,,35.03,7.03,41.0,1.76,,30.64,,,,-,,,853.0,,,,,,,,,,2026-06-26,4.25,0,6,0,0,0,0,3,5,14,D,60
010950.KS,010950,S-Oil,104927,92200.0,94118.0,-2.0378673579974076,141300.0,-34.74876150035386,33.18681318680298,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-81.34,31.62,79.55,5.0,1.13,2.01,198.82,-6.52,-44.2,,8137 -> 1518,342470.0,2356.0,1770.0,0.69,0.52,,,,,,,,2026-06-26,4.25,15,8,0,0,0,0,3,5,31,D,61
006260.KS,006260,LS,104208,336000.0,269500.0,24.675324675324674,553000.0,-39.24050632911392,41.01941747572536,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,14.75,14.43,19.37,18.0,1.81,5.64,225.47,15.7,-1.89,-20.96,13539 -> 7371 -> 8458,318700.0,10526.0,4851.0,3.3,1.52,,,,,,1.22,-20.96,2026-06-26,4.25,8,3,6,10,0,5,5,5,42,C,62
003490.KS,003490,대한항공,103285,28100.0,23986.25,17.15045077909219,30000.0,-6.333333333333334,63.322884012483605,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-40.82,8.45,45.93,38.0,0.95,7.28,339.88,41.16,-47.23,-14.28,2873 -> 3567 -> 2111,252255.0,11136.0,6473.0,4.41,2.57,,,,,,,-14.28,2026-06-26,4.25,0,8,6,0,0,0,3,0,17,D,63
005940.KS,005940,NH투자증권,98707,27550.0,26546.8,3.7789865445176094,39200.0,-29.71938775510204,42.61603375522392,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,46.15,6.96,13.63,7.0,1.04,11.76,783.5,36.52,57.65,34.9,1587 -> 1976 -> 2888,136989.0,14206.0,10315.0,10.37,7.53,,,,,,0.15,34.9,2026-06-26,4.25,15,8,12,20,15,10,5,5,90,S,64
443060.KS,443060,HD현대마린솔루션,97064,214500.0,206543.0,3.8524665566008047,280500.0,-23.52941176470588,53.435114503811086,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,13.41,31.31,29.16,27.0,11.46,33.73,54.27,13.59,28.86,26.16,3778 -> 5302 -> 6013,19827.0,3501.0,2696.0,17.66,13.6,,,,,,2.01,26.16,2026-06-26,4.25,0,0,20,0,15,5,5,5,50,C,65
323410.KS,323410,카카오뱅크,94231,19680.0,23387.25,-15.851585799955103,37000.0,-46.81081081081081,33.8709677418845,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,9.1,27.52,16.86,16.0,1.42,7.23,1032.02,4.78,7.0,16.34,744 -> 923 -> 1007,30863.0,6494.0,4803.0,21.04,15.56,,,,,,1.76,16.34,2026-06-26,4.25,8,6,6,5,12,5,3,3,48,C,66
259960.KS,259960,크래프톤,94121,203000.0,261057.5,-22.23935339915536,386000.0,-47.40932642487047,24.203821656046628,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-43.16,14.43,43.59,8.0,1.22,10.6,31.31,22.76,-10.83,12.39,12221 -> 27162 -> 15438,33266.0,10544.0,7337.0,31.7,22.06,,,,,,,12.39,2026-06-26,4.25,15,6,12,0,8,0,1,3,45,C,67
016360.KS,016360,삼성증권,92693,103400.0,92750.0,11.482479784366577,149500.0,-30.83612040133779,44.09005628516665,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,12.03,5.76,26.27,6.0,1.13,13.09,887.64,10.45,14.09,35.65,6130 -> 10068 -> 11279,148739.0,13757.0,10072.0,9.25,6.77,,,,,,0.5,35.65,2026-06-26,4.25,15,8,12,20,15,5,5,5,85,S,68
005830.KS,005830,DB손해보험,86132,130400.0,147952.0,-11.863307018492485,205500.0,-36.54501216545012,44.96788008563962,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,-3.4,4.18,46.37,6.0,0.69,17.75,576.91,5.55,-1.69,1.43,24556 -> 26152 -> 25263,230479.0,23840.0,17906.0,10.34,7.77,,,,,,,1.43,2026-06-26,4.25,15,10,16,0,0,0,5,5,51,C,69
003230.KS,003230,삼양식품,83691,1103000.0,1280660.0,-13.872534474411632,1630000.0,-32.331288343558285,56.363636363633965,nxt_web_latest,NXT 체결가,2026-06-26 22:30 KST,,,43.18,19.3,15.72,15.0,6.03,37.59,72.74,36.1,52.12,75.62,16761 -> 36106 -> 51697,23518.0,5242.0,3887.0,22.29,16.53,,,,,,0.35,75.62,2026-06-26,4.25,8,0,20,20,15,10,3,5,81,A,70
