yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
319660.KQ,319660,피에스케이,52198,180200.0,60699.75,196.8710744278189,180200.0,0.0,78.2352941176399,daily_close,-0.73,10.42,25.25,33.0,8.43,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,,,,,,,,,,,,22.31,2026-06-22,4.45,0,0,16,0,12,0,1,0,29,D,14
222800.KQ,222800,심텍,50201,134000.0,62644.25,113.90630424979149,134100.0,-0.07457121551081282,66.18773946359265,daily_close,,,14.92,35.0,7.78,-32.1,181.13,14.55,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,1,0,1,D,15
141080.KQ,141080,리가켐바이오,49569,133900.0,169652.5,-21.07396000648384,213500.0,-37.28337236533958,42.43845252050887,daily_close,,483.55,11.6,-112.0,10.59,-13.22,29.7,12.47,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,5,10,D,16
403870.KQ,403870,HPSP,49380,60000.0,39999.75,50.00093750585941,83500.0,-28.143712574850298,57.7726218097354,daily_close,-16.35,35.96,29.57,40.0,15.7,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,,,,,,,,,,,,-6.21,2026-06-22,4.45,0,0,20,0,0,0,3,5,28,D,17
087010.KQ,087010,펩트론,47800,205000.0,276210.0,-25.781108576807497,386000.0,-46.89119170984456,19.999999999997712,regularMarketPrice,,,5.06,,35.04,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,1,3,4,D,18
347850.KQ,347850,디앤디파마텍,47089,107500.0,75509.255,42.366654259799006,111200.0,-3.327338129496403,63.28976034857423,daily_close,,,6.71,,63.16,-31.49,23.5,-62.28,,,-,43.0,-340.0,-240.0,-790.7,-558.14,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,0,3,D,19
080220.KQ,080220,제주반도체,46153,134000.0,40197.3,233.35572289681147,134000.0,0.0,69.52695269525881,regularMarketPrice,102.29,22.3,4.64,34.76,12.62,19.21,47.94,86.2,273.96,53.63,486 -> 567 -> 1147,,,,,,,,,,,0.34,53.63,2026-06-22,4.45,0,0,16,20,15,10,1,0,62,B,20
084370.KQ,084370,유진테크,42921,187300.0,102806.25,82.18736701319229,196100.0,-4.487506374298826,66.63113006396091,regularMarketPrice,-32.89,30.03,38.07,41.0,7.91,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,,,,,,,,,,,,31.84,2026-06-22,4.45,0,0,6,0,15,0,1,0,22,D,21
108490.KQ,108490,로보티즈,42358,289000.0,244548.0,18.17720856437182,405000.0,-28.641975308641975,26.205450733751093,regularMarketPrice,,691.83,7.83,350.0,11.79,2.49,1.79,29.67,,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,3,5,8,D,22
178320.KQ,178320,서진시스템,42264,66400.0,38418.25,72.83452525817809,80800.0,-17.82178217821782,40.354767184022954,daily_close,,15.93,12.91,,4.85,-12.63,212.62,-12.15,-98.99,,-,,,,,,,,,,,,,2026-06-22,4.45,0,0,0,0,0,0,5,5,10,D,23
