yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,price_source,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,peg,cagr,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
307950.KS,307950,현대오토에버,150831,550000.0,371980.0,47.857411688800475,938000.0,-41.36460554371002,16.920152091254295,regularMarketPrice,6.84,37.41,1.71,87.0,9.97,10.27,92.31,14.5,13.77,15.08,5024 -> 6228 -> 6654,,,,,,,,,,,12.72,15.08,2026-06-23,4.51,0,0,12,0,12,5,1,5,35,D,52
003550.KS,003550,LG,149075,98600.0,90171.0,9.347794745539032,165800.0,-40.5307599517491,19.196428571424562,daily_close,29.09,16.15,35.84,15.0,0.56,2.64,12.03,1.07,-5.65,-23.3,7867 -> 3585 -> 4628,,,,,,,,,,,0.52,-23.3,2026-06-23,4.51,8,10,0,20,0,8,1,5,52,C,53
018260.KS,018260,삼성에스디에스,148255,191600.0,176446.5,8.588155616574996,362000.0,-47.071823204419886,18.139262726739304,regularMarketPrice,0.34,16.5,17.9,23.0,1.65,7.89,31.09,0.74,5.05,4.66,8962 -> 9783 -> 9816,,,,,,,,,,,67.65,4.66,2026-06-23,4.51,4,6,6,0,4,2,1,3,26,D,54
086280.KS,086280,현대글로비스,140175,186900.0,207624.0,-9.981505028320425,290500.0,-35.66265060240964,35.72607260725658,daily_close,58.5,7.56,44.87,10.0,1.61,18.13,78.92,4.08,18.26,27.83,14148 -> 14585 -> 23117,,,,,,,,,,,0.17,27.83,2026-06-23,4.51,12,6,16,20,15,10,5,5,89,S,55
047810.KS,047810,한국항공우주,136855,140400.0,141226.5,-0.5852301090800948,202000.0,-30.495049504950494,45.54054054053193,daily_close,8.05,37.62,26.2,41.0,7.66,10.51,446.57,1.73,11.84,-8.9,2298 -> 1765 -> 1907,,,,,,,,,,,5.09,-8.9,2026-06-23,4.51,0,0,12,0,0,5,5,5,27,D,56
278470.KS,278470,에이피알,133092,355500.0,296635.0,19.844253038245654,459000.0,-22.54901960784314,39.63553530751455,regularMarketPrice,171.08,23.78,37.45,27.0,28.49,75.3,73.11,111.3,197.88,85.08,2249 -> 2842 -> 7704,,,,,,,,,,,0.16,85.08,2026-06-23,4.51,0,0,20,20,15,10,5,5,75,A,57
030200.KS,030200,KT,132059,52400.0,55209.5,-5.088798123511353,68900.0,-23.9477503628447,46.03174603171194,regularMarketPrice,271.3,13.4,100.0,9.0,0.71,10.22,120.72,6.86,205.02,32.94,3887 -> 1850 -> 6869,,,,,,,,,,,0.03,32.94,2026-06-23,4.51,12,10,12,20,15,10,5,5,89,S,58
000720.KS,000720,현대건설,128170,115100.0,106789.5,7.782132138459305,188700.0,-39.00370959194488,42.46250986582009,regularMarketPrice,-30.35,14.22,25.1,27.0,1.58,4.58,174.81,-4.92,,,4767 -> 3320,,,,,,,,,,,,,2026-06-23,4.51,0,6,0,0,0,0,5,5,16,D,59
071050.KS,071050,한국금융지주,115910,208000.0,198715.0,4.672520947085021,292500.0,-28.888888888888886,37.16475095785042,daily_close,94.33,4.83,35.02,5.0,1.06,18.66,1025.35,6.14,95.49,69.05,11480 -> 16883 -> 32808,,,,,,,,,,,0.05,69.05,2026-06-23,4.51,15,8,16,20,15,10,5,5,94,S,60
010950.KS,010950,S-Oil,114271,101500.0,93534.0,8.51668911839545,141300.0,-28.16702052370842,41.005291005275815,regularMarketPrice,-81.34,31.62,79.28,5.0,1.28,2.01,198.82,-6.52,-44.2,,8137 -> 1518,,,,,,,,,,,,,2026-06-23,4.51,15,6,0,0,0,0,5,5,31,D,61
006260.KS,006260,LS,112788,361500.0,266795.0,35.49729192825953,553000.0,-34.629294755877034,36.72199170124267,regularMarketPrice,14.75,14.43,18.5,23.0,2.22,5.64,225.47,15.7,-1.89,-20.96,13539 -> 7371 -> 8458,,,,,,,,,,,1.56,-20.96,2026-06-23,4.51,4,3,6,5,0,5,5,5,33,D,62
005940.KS,005940,NH투자증권,102449,28750.0,26410.05,8.860074100579139,39200.0,-26.658163265306122,42.96296296291841,regularMarketPrice,46.15,6.96,13.52,8.0,1.2,11.76,783.5,36.52,57.65,34.9,1587 -> 1976 -> 2888,,,,,,,,,,,0.17,34.9,2026-06-23,4.51,15,8,12,20,15,10,5,5,90,S,63
259960.KS,259960,크래프톤,102193,221500.0,262940.0,-15.760249486574885,386000.0,-42.61658031088083,30.817610062887653,daily_close,-43.16,14.43,43.57,10.0,1.45,10.6,31.31,22.76,-10.83,12.39,12221 -> 27162 -> 15438,,,,,,,,,,,,12.39,2026-06-23,4.51,12,6,12,0,8,0,3,5,46,C,64
323410.KS,323410,카카오뱅크,96616,20250.0,23462.0,-13.690222487426476,37000.0,-45.27027027027027,40.64171122988568,daily_close,9.1,27.52,16.87,18.0,1.59,7.23,1032.02,4.78,7.0,16.34,744 -> 923 -> 1007,,,,,,,,,,,1.98,16.34,2026-06-23,4.51,8,6,6,5,12,5,5,3,50,C,65
016360.KS,016360,삼성증권,96444,108000.0,92165.5,17.180506805691934,149500.0,-27.759197324414714,40.42553191488502,daily_close,12.03,5.76,25.98,7.0,1.3,13.09,887.64,10.45,14.09,35.65,6130 -> 10068 -> 11279,,,,,,,,,,,0.58,35.65,2026-06-23,4.51,15,6,12,20,15,5,5,5,83,A,66
003490.KS,003490,대한항공,95369,25900.0,23926.5,8.248176707834409,30000.0,-13.666666666666666,52.27272727267183,regularMarketPrice,-40.82,8.45,44.43,53.0,0.95,7.28,339.88,41.16,-47.23,-14.28,2873 -> 3567 -> 2111,,,,,,,,,,,,-14.28,2026-06-23,4.51,0,8,6,0,0,0,5,5,24,D,67
0126Z0.KS,0126Z0,삼성에피스홀딩스,95302,383000.0,521955.0,-26.622026803076892,743000.0,-48.45222072678331,27.624309392263058,regularMarketPrice,,35.03,7.05,40.0,1.71,,30.64,,,,-,,,853.0,,,,,,,,,,2026-06-23,4.51,0,6,0,0,0,0,3,3,12,D,68
443060.KS,443060,HD현대마린솔루션,91684,204500.0,206335.0,-0.8893304577507452,280500.0,-27.094474153297682,40.81632653060758,daily_close,13.41,31.31,28.59,28.0,11.91,33.73,54.27,13.59,28.86,26.16,3778 -> 5302 -> 6013,,,,,,,,,,,2.09,26.16,2026-06-23,4.51,0,0,20,0,15,5,5,5,50,C,69
005830.KS,005830,DB손해보험,91045,139000.0,147899.0,-6.0169439955645405,205500.0,-32.360097323600975,43.29896907215245,daily_close,-3.4,4.18,46.49,6.0,0.76,17.75,576.91,5.55,-1.69,1.43,24556 -> 26152 -> 25263,,,,,,,,,,,,1.43,2026-06-23,4.51,15,10,16,0,0,0,5,5,51,C,70
