yf_symbol,symbol,name,market_cap,krx_source,price,ma200,diff,peak,peak_diff,rsi,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,dividend_history_years,dividend_history_source,dividend_year,dividend_report_code,dart_source,dart_year,dart_fs_div,dart_report_code,peg,cagr,sector,industry,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
319660.KQ,319660,피에스케이,56803,,196000.0,65342.5,199.9579140681792,196100.0,-0.05099439061703213,67.74876499646473,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-0.73,10.42,24.13,37.0,10.02,15.54,19.84,14.85,5.48,22.31,1813 -> 2732 -> 2712,4572.0,885.0,785.0,19.36,17.17,617.31,431.97,1194.22,1069.62,124.6,1.8,25.1,680.0,196.97,OpenDART,3.18,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,22.31,,,2026-06-30,4.25,0,0,16,0,12,0,1,0,29,D,11
222800.KQ,222800,심텍,55708,,149900.0,65701.0,128.1548226054398,148700.0,0.8069939475453934,68.11460258779155,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,13.25,41.0,9.31,-32.1,181.13,14.55,,,-,14106.0,119.0,-1646.0,0.84,-11.67,-1986.12,-2550.05,539.84,10439.64,-9899.8,0.2,,100.0,37.33,OpenDART,-33.13,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,1,0,1,D,12
298380.KQ,298380,에이비엘바이오,55707,,101900.0,148796.0,-31.516976262802764,245500.0,-58.49287169042769,55.80524344568313,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,13.11,-98.0,30.84,-23.48,79.29,137.43,,,-,793.0,-404.0,-379.0,-50.95,-47.79,-412.53,-419.05,1119.82,1242.37,-122.55,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,3,6,D,13
141080.KQ,141080,리가켐바이오,55492,,153000.0,169754.5,-9.869841447502129,213500.0,-28.337236533957842,58.911819887421906,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,483.55,9.77,-125.0,11.8,-13.22,29.7,12.47,,,-,1416.0,-1065.0,-916.0,-75.21,-64.69,-1245.33,-1305.74,986.5,1606.95,-620.45,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,3,5,8,D,14
000250.KQ,000250,삼천당제약,53013,,228000.0,376555.0,-39.451076204007386,1184000.0,-80.74324324324324,39.811912225701825,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,1036.5,7.6,518.35,17.74,1.94,54.36,9.91,226.92,,-,2318.0,85.0,120.0,3.67,5.18,97.93,-497.95,959.44,1976.38,-1016.94,0.02,22.1,50.0,11.63,OpenDART,-75.0,2.0,True,2.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,1,6,D,15
403870.KQ,403870,HPSP,44442,,54000.0,40801.25,32.348886369902885,83500.0,-35.32934131736527,50.612244897949545,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,-16.35,35.96,31.26,38.0,14.98,24.79,19.95,-4.63,-4.26,-6.21,989 -> 1040 -> 870,1730.0,899.0,727.0,51.97,42.02,1002.05,977.76,939.41,614.76,324.65,1.93,55.66,500.0,404.37,OpenDART,49.38,4.0,True,4.0,OpenDART,2025.0,11011,OpenDART,2025,OFS,11011,,-6.21,,,2026-06-30,4.25,0,0,20,0,0,0,5,5,30,D,16
440110.KQ,440110,파두,43834,,87500.0,48124.6,81.81969304679936,128300.0,-31.80046765393609,41.36947218258803,daily_close,NXT 미확인,2026-06-30 21:24 KST,,,,,27.36,,130.99,-131.08,518.5,112.41,,,-,924.0,-655.0,-762.0,-70.89,-82.47,-37.04,-78.42,408.04,1026.33,-618.29,,,,,,,,,,,,,OpenDART,2025,CFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,5,10,D,17
087010.KQ,087010,펩트론,42973,,185800.0,272510.5,-31.819140913836346,386000.0,-51.865284974093264,35.451336359049435,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,,,5.39,,31.5,-9.41,26.03,75.0,,,-,56.0,-213.0,-138.0,-380.36,-246.43,-205.86,-235.83,43.78,369.71,-325.93,,,,,,,,,,,,,OpenDART,2025,OFS,11011,,,,,2026-06-30,4.25,0,0,0,0,0,0,5,3,8,D,18
084370.KQ,084370,유진테크,42555,,188100.0,106418.25,76.75539674820813,196100.0,-4.07955124936257,59.771573604055604,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,-32.89,30.03,36.76,46.0,8.76,9.81,18.16,3.61,-15.52,31.84,1066 -> 2761 -> 1853,3503.0,517.0,445.0,14.76,12.7,664.77,452.3,549.25,892.21,-342.96,0.23,12.3,230.0,52.02,OpenDART,-3.93,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,,31.84,,,2026-06-30,4.25,0,0,6,0,15,0,3,0,24,D,19
095610.KQ,095610,테스,40268,,211000.0,71003.25,197.16949576251793,208000.0,1.4423076923076923,61.9640387275182,nxt_web_latest,NXT 체결가,2026-06-30 21:15 KST,,,33.69,92.12,9.49,41.0,9.0,15.76,24.43,46.23,50.13,504.31,79 -> 2158 -> 2885,3511.0,578.0,569.0,16.46,16.21,824.23,492.84,121.43,957.15,-835.72,2.1,26.4,850.0,150.74,OpenDART,11.0,5.0,True,5.0,OpenDART,2025.0,11011,OpenDART,2025,CFS,11011,1.22,504.31,,,2026-06-30,4.25,0,0,16,10,15,10,3,0,54,C,20
